sec torque_X torque_Y torque_Z force_X force_Y force_Z
0 0.423491 -0.568352 -0.0667349 0.0254799 0.0539772 -0.0191018
1 0.883556 0.309802 0.492504 -0.0728989 0.0752234 0.137257
2 -0.555899 0.566907 0.208142 -0.0193832 -0.0631972 0.0289986
3 1.11747 -0.110165 -0.352805 -0.0525883 0.087174 -0.068818
4 0.242265 1.04975 -0.0685423 -0.0843516 0.0132076 -0.00677503
5 0.879467 -0.00302036 0.0422251 -0.0356744 0.0680922 0.0216957
6 0.97545 0.0575905 0.481532 -0.0560151 0.0741602 0.129722
7 0.425773 0.326059 0.15291 -0.0511832 0.0380714 0.0362305
8 -1.13017 0.436104 -0.343836 0.0060791 -0.11228 -0.118698
9 0.671714 -0.88169 -0.208135 0.0539029 0.0686919 -0.0564963
10 -0.351092 -0.530642 0.0835095 0.06095 -0.0295313 -0.000776331
11 -1.02183 0.578416 0.677767 -0.00562834 -0.111267 0.111744
12 0.548307 0.0018319 0.107634 -0.0234726 0.0414453 0.0252188
13 -0.739294 0.646696 -0.288959 -0.0091979 -0.0905288 -0.108139
14 0.657589 -0.207668 0.0268656 -0.00270784 0.0501417 0.00686899
15 -0.195751 -0.575621 -0.0175377 0.0622553 -0.0412822 -0.000593938
16 -1.19429 0.535592 0.286257 -0.00814508 -0.125901 0.00225189
17 -0.966236 -0.0898788 0.0859777 0.041866 -0.0805772 0.0178088
18 -0.812845 -0.153826 -0.761069 0.0262461 -0.0501252 -0.117248
19 0.620772 0.0402374 0.105413 -0.0321277 0.0409241 0.0261671
20 0.121838 0.558571 0.200421 -0.0359507 0.00278881 0.0278271
21 -0.234328 1.02552 0.199137 -0.0536451 -0.0506765 0.0564021
22 0.045472 0.886078 -0.160498 -0.0604741 -0.00546256 -0.0432946
23 -0.7569 -0.0138373 0.13057 0.0500367 -0.0604907 -0.028624
24 -0.87949 -0.565458 0.280608 0.0782897 -0.0765348 0.0749318
25 -0.89065 0.398991 0.100726 0.0104678 -0.0920199 -0.0288991
26 0.484675 -0.389153 0.0194936 0.0227416 0.0461067 0.00549268
27 0.860992 -0.766777 -0.395559 0.0391713 0.0785824 -0.0846617
28 -0.0152599 0.667516 0.271008 -0.0382949 -0.0164004 0.0503166
29 -0.0851629 -0.967059 0.348857 0.0840652 0.00325851 0.0442546
30 -0.313187 0.949019 0.334593 -0.0372024 -0.05604 0.0704647
31 -0.725565 -0.3208 0.0833684 0.0489239 -0.0600293 0.0135542
32 0.660581 -0.796382 -0.469036 0.0446593 0.0652582 -0.125245
33 -0.386007 -1.09092 -0.186726 0.104129 -0.016283 -0.0786477
34 0.557 -0.24941 0.0236466 -0.000992508 0.0428978 0.00756359
35 -1.1657 0.459604 0.214472 0.00949014 -0.119692 -0.00515063
36 0.369737 -0.505909 -0.030692 0.0259472 0.0403287 -0.00555043
37 0.844192 0.447773 -0.155184 -0.0707095 0.0525763 -0.0503708
38 -0.557989 -0.43877 -0.120579 0.0540488 -0.0418139 -0.016394
39 -0.911744 0.668956 0.570427 -0.0114187 -0.112162 0.0877034
40 -0.0949225 0.543078 0.199636 -0.0298348 -0.0148385 0.0258725
41 -0.605142 -0.889031 -0.425003 0.0894341 -0.0461579 -0.128281
42 -0.161279 -0.658751 0.00524396 0.0643054 -0.00335827 -0.0186357
43 -0.518144 -0.88976 0.335815 0.0957434 -0.0384451 0.0592873
44 0.489105 0.308255 0.177667 -0.0477366 0.0397857 0.047801
45 1.00716 -0.306047 -0.186972 -0.0108619 0.0717722 -0.0400489
46 -0.804226 0.305131 0.125052 0.0107477 -0.0848586 -0.012251
47 -0.0283274 0.918969 0.622481 -0.0580205 -0.0115907 0.13334
48 0.479772 -0.398131 -0.0322255 0.0210511 0.0442428 0.00142269
49 0.588469 0.769842 -0.266327 -0.0864605 0.051589 -0.0679026
50 0.572126 0.422861 0.138513 -0.0460477 0.0371207 0.013876
51 0.17263 -1.07574 0.446869 0.0909779 0.027598 0.049468
52 -1.15159 0.563709 0.241118 -0.00526477 -0.127042 -0.00413777
53 -0.256798 0.49518 0.230522 -0.00563792 -0.0467175 0.036683
54 -0.918227 0.634863 -0.256487 -0.00376602 -0.109511 -0.101459
55 -0.708765 0.289476 0.144134 0.010966 -0.0805658 -0.0166047
56 0.582086 -0.821281 0.329303 0.0575986 0.0610233 0.0619906
57 0.378391 -0.527393 0.0506516 0.0300201 0.0363679 -0.00104605
58 0.638739 -0.132099 0.0716454 -0.0118686 0.0492225 0.0179973
59 1.02341 -0.159804 -0.340754 -0.0365699 0.0707003 -0.0622034
60 0.546228 0.0716954 0.135574 -0.0281638 0.0367847 0.0363492
61 -0.58735 0.841466 0.672529 -0.0244375 -0.0813724 0.140636
62 -0.363082 0.538999 0.244324 -0.0112809 -0.0602736 0.0344302
63 1.02348 -0.350987 -0.456377 -0.00901063 0.0814293 -0.102362
64 0.356711 0.987361 0.00272086 -0.0803786 0.0233024 -0.0118308
65 0.261549 -0.467218 0.0387352 0.0313167 0.0258691 -0.0059917
66 -0.839643 -0.644056 0.335736 0.0760956 -0.0726489 0.0792783
67 0.0265139 1.16201 0.184379 -0.0848823 -0.0171892 0.04425
68 0.0154069 -0.633835 0.0464208 0.0445937 0.00728943 -0.0239523
69 0.955291 -0.00735596 -0.388554 -0.0535532 0.0649722 -0.0836581
70 0.536841 0.512754 0.182938 -0.0572059 0.0362132 0.0221117
71 -1.07333 0.437213 0.487226 0.00796539 -0.102997 0.0711244
72 0.370321 -0.463036 -0.0431542 0.0246704 0.0468414 0.00341217
73 0.614368 0.124059 0.0596612 -0.0453303 0.0490297 0.0251565
74 0.927821 0.220273 -0.257902 -0.0716114 0.0663536 -0.0442834
75 0.53506 -0.318346 0.0300211 0.0117397 0.047884 0.0170913
76 0.955166 -0.621524 0.254259 0.0236983 0.0901748 0.0843325
77 0.28317 -0.602385 0.00551475 0.0360189 0.0364451 -0.013126
78 0.630519 -0.765043 -0.589516 0.0424991 0.0624844 -0.138454
79 -0.367474 0.540167 0.0858309 -0.0198025 -0.0448434 0.0306515
80 1.02987 -0.550191 -0.0108277 0.0125188 0.0883959 0.0147569
81 0.0332749 -0.637045 0.0308177 0.0519115 0.0101531 -0.0197286
82 -0.469218 -0.974598 -0.412815 0.097537 -0.0320502 -0.125604
83 -0.516884 -0.41871 -0.1344 0.0497546 -0.0399385 -0.0182309
84 0.710319 -0.181897 0.0488411 -0.0159513 0.0496643 0.015943
85 -1.17611 -0.0549553 0.373553 0.044895 -0.0965554 0.0893415
86 -0.83614 0.331484 0.109764 0.00108291 -0.0825041 -0.00516955
87 0.992171 0.149044 -0.204206 -0.0759413 0.0715502 -0.0329552
88 0.0199985 -0.692419 -0.0697526 0.0507917 0.0128621 -0.033707
89 0.320846 0.912054 0.511564 -0.0745806 0.0298432 0.117037
90 0.0902221 0.882946 0.299838 -0.0612897 0.001316 0.0661565
91 -0.75341 -0.0053263 0.0559376 0.0303751 -0.0689745 0.00163825
92 -1.22795 -0.0568114 -0.348663 0.0464443 -0.100733 -0.0876685
93 0.638858 0.0717348 0.131511 -0.0357018 0.0433376 0.0290512
94 -0.0508523 0.873173 0.627954 -0.0508531 -0.0179714 0.15034
95 0.237494 0.516046 0.153109 -0.044934 0.018489 0.0375511
96 0.883455 -0.521464 -0.481395 0.0106024 0.079015 -0.0973793
97 -0.741995 0.123834 0.0844012 0.0203306 -0.0762563 -0.0242103
98 -1.00867 -0.490003 0.287322 0.080434 -0.0815457 0.0882758
99 0.599985 -0.394591 -0.0242304 0.0143795 0.0482953 0.00224395
